State: [np.float64(-0.06244136528042279), np.float64(-0.25068339618138946), np.float64(0.8091524132620868), np.float64(-0.08119179728056343), np.float64(-0.01040016635613887), np.float64(-0.1738230848005729)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195460546, Vel_cmd: [np.float64(276142602756.7566), np.float64(62044712001.98259), np.float64(166772102546.7)]
State: [np.float64(-0.06475490532145467), np.float64(-0.2528452430798334), np.float64(0.8087740713734034), np.float64(-0.09271095875019196), np.float64(-0.022398755630811364), np.float64(-0.17371874657151742)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195460648, Vel_cmd: [np.float64(552590607061.295), np.float64(124200018660.72151), np.float64(333597189942.4528)]
State: [np.float64(-0.06764430206000013), np.float64(-0.25572974559991335), np.float64(0.8078913654990937), np.float64(-0.09638707284286131), np.float64(-0.007896919207488046), np.float64(-0.17707441474472246)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195460748, Vel_cmd: [np.float64(828764842943.6488), np.float64(189386031011.0212), np.float64(500545895782.4306)]
State: [np.float64(-0.07003451961711432), np.float64(-0.2581072140586964), np.float64(0.8082210116128116), np.float64(-0.08794862159143817), np.float64(-0.01281985234566751), np.float64(-0.17454440915927583)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195460849, Vel_cmd: [np.float64(1106295479026.018), np.float64(250102661000.11057), np.float64(667448436382.9548)]
State: [np.float64(-0.07244187406362157), np.float64(-0.26052829710082503), np.float64(0.809062722904489), np.float64(-0.09873084830157718), np.float64(0.0036337759421575257), np.float64(-0.17745099413363621)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195460949, Vel_cmd: [np.float64(1382736307326.7244), np.float64(317121340317.56885), np.float64(834233099639.5914)]
State: [np.float64(-0.07436505572089305), np.float64(-0.26261007427569283), np.float64(0.8099307192305395), np.float64(-0.09044404097516473), np.float64(-0.00810652006498805), np.float64(-0.17719545123557412)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195461049, Vel_cmd: [np.float64(1660245992282.8584), np.float64(380656954392.6941), np.float64(1000896204467.9501)]
State: [np.float64(-0.0767441558629001), np.float64(-0.26462626090262675), np.float64(0.811451762754594), np.float64(-0.09402756808324991), np.float64(-0.01426200147942248), np.float64(-0.16923445491272301)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195461150, Vel_cmd: [np.float64(1941455646922.643), np.float64(429266955515.229), np.float64(1167346294954.2534)]
State: [np.float64(-0.07812623400102484), np.float64(-0.2661021177641188), np.float64(0.812147297103341), np.float64(-0.10118481354838171), np.float64(-0.009932181277104105), np.float64(-0.17007399643330748)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195461250, Vel_cmd: [np.float64(2219447862598.497), np.float64(493078972292.43555), np.float64(1333698979428.4731)]
State: [np.float64(-0.07947140287994982), np.float64(-0.2672251880544593), np.float64(0.8129481606082022), np.float64(-0.08776919018748612), np.float64(-0.0019457829869395015), np.float64(-0.17000864957510473)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195461350, Vel_cmd: [np.float64(2498009041737.7607), np.float64(555188131765.3008), np.float64(1499939507081.9875)]
State: [np.float64(-0.08013842247305474), np.float64(-0.2676815826136837), np.float64(0.813865875414329), np.float64(-0.1026707478811445), np.float64(0.0017931686396115008), np.float64(-0.16751468878725012)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195461451, Vel_cmd: [np.float64(2778155344988.4185), np.float64(610555047940.097), np.float64(1666051513488.8816)]
State: [np.float64(-0.08032310099922771), np.float64(-0.2677822158725763), np.float64(0.8150336605632821), np.float64(-0.10457438776515818), np.float64(0.00890918236115242), np.float64(-0.1655712593327811)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195461551, Vel_cmd: [np.float64(3058249395818.706), np.float64(666220896203.5054), np.float64(1831999977578.8892)]
State: [np.float64(-0.07890500618706074), np.float64(-0.2665984682928901), np.float64(0.8217726020931293), np.float64(-0.09662057119360315), np.float64(0.005660547966040971), np.float64(-0.14461277163871333)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195461651, Vel_cmd: [np.float64(3351487659921.549), np.float64(657100164381.6204), np.float64(1997004687447.2998)]
State: [np.float64(-0.07635741349323995), np.float64(-0.2642800015295092), np.float64(0.8273542717467091), np.float64(-0.12266931222454493), np.float64(0.0035604300994463204), np.float64(-0.1283808099937796)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195461752, Vel_cmd: [np.float64(3642186876044.6753), np.float64(653013606779.128), np.float64(2161227713090.5684)]
State: [np.float64(-0.07171376926497837), np.float64(-0.2598724319525983), np.float64(0.8352980610808803), np.float64(-0.10023030617902697), np.float64(0.00515857435551709), np.float64(-0.11840663178602898)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195461852, Vel_cmd: [np.float64(3928878423617.788), np.float64(663944479535.5337), np.float64(2324338251750.638)]
