State: [np.float64(0.007507442993343087), np.float64(-0.11326863420920845), np.float64(0.8517565444291368), np.float64(0.002569110422246206), np.float64(-0.05151360360772655), np.float64(-0.05682178440291209)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196394594, Vel_cmd: [np.float64(412220171441.5629), np.float64(-23854432869.118412), np.float64(440895599997.44257)]
State: [np.float64(0.0051227658893652495), np.float64(-0.11370560163783017), np.float64(0.8529150681910982), np.float64(-0.0016947196301092663), np.float64(-0.04924224821578269), np.float64(-0.05113852374247794)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196394695, Vel_cmd: [np.float64(824481154054.7345), np.float64(-52353628351.6813), np.float64(881628954607.6769)]
State: [np.float64(0.002310500870162388), np.float64(-0.11360240997253178), np.float64(0.8533249564559034), np.float64(-0.004326667240924348), np.float64(-0.05563231813244238), np.float64(-0.04917962571279804)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196394795, Vel_cmd: [np.float64(1237113496406.485), np.float64(-80919783536.06378), np.float64(1322304906461.2493)]
State: [np.float64(-0.0002688198877158225), np.float64(-0.11351897158509784), np.float64(0.8546763839549161), np.float64(-0.0023814213875041155), np.float64(-0.05003617345388638), np.float64(-0.05086386669993004)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196394896, Vel_cmd: [np.float64(1650382649318.3381), np.float64(-105078531274.82095), np.float64(1762791597742.603)]
State: [np.float64(-0.0032104368561090614), np.float64(-0.1135608198362093), np.float64(0.855372371353152), np.float64(0.0157961789909754), np.float64(-0.044537151995771976), np.float64(-0.049966749530977836)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196394996, Vel_cmd: [np.float64(2063801239600.4546), np.float64(-133149788195.15099), np.float64(2203180819528.1865)]
State: [np.float64(-0.006284977567964005), np.float64(-0.11312169298784197), np.float64(0.8559857484382308), np.float64(0.0033172613469302083), np.float64(-0.05258386883395392), np.float64(-0.05783034282387307)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196395097, Vel_cmd: [np.float64(2478916384057.1875), np.float64(-140254156684.7281), np.float64(2643484140975.487)]
State: [np.float64(-0.009534163045402413), np.float64(-0.11362079005844922), np.float64(0.8567156866711052), np.float64(0.003681749440904456), np.float64(-0.03868160726742829), np.float64(-0.05688478717101935)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196395197, Vel_cmd: [np.float64(2893335488932.688), np.float64(-166274972386.68015), np.float64(3083685238284.023)]
State: [np.float64(-0.012856852737829435), np.float64(-0.11350212633513179), np.float64(0.8583239186153512), np.float64(0.0022246038779832424), np.float64(-0.047184727567751106), np.float64(-0.05473301356169083)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196395297, Vel_cmd: [np.float64(3307927055042.1147), np.float64(-197050673345.7469), np.float64(3523661110854.0933)]
State: [np.float64(-0.017474475415609956), np.float64(-0.11337778839562214), np.float64(0.8589021116404494), np.float64(0.0060583165011525025), np.float64(-0.04749106110498618), np.float64(-0.05543280824251024)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196395398, Vel_cmd: [np.float64(3723669630669.1167), np.float64(-218967196017.80365), np.float64(3963556010435.798)]
State: [np.float64(-0.022397566104563057), np.float64(-0.11283317107363142), np.float64(0.859051005623131), np.float64(-0.0008317206279018423), np.float64(-0.0434724564309717), np.float64(-0.056968095524349165)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196395498, Vel_cmd: [np.float64(4140319018943.6904), np.float64(-236833911109.74976), np.float64(4403430058192.199)]
State: [np.float64(-0.027445080442505303), np.float64(-0.11226233692790798), np.float64(0.8597433043292897), np.float64(0.0024642849866577743), np.float64(-0.03865390471572473), np.float64(-0.057412953761094475)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196395598, Vel_cmd: [np.float64(4557444516159.794), np.float64(-258381351645.66846), np.float64(4843207153035.459)]
